X, Y, Z, Red, Green, Blue, Gray,
107.0275,294.69995,95.843474,0.000505417,0.129386719,33.123,2.648724835,
107.0275,294.69995,95.852326,0.000808075,0.206867188,52.958,4.234857042,
107.0275,294.69995,95.877113,0.000542435,0.138863281,35.549,2.842723158,
107.0275,294.69995,95.908981,0.017758026,4.546054688,139.79,93.06401822,
107.0275,294.69995,96.047963,0.002080429,0.532589844,136.343,10.90284969,
107.0424167,294.6999417,95.77,0.047224197,12.08939453,22.885,247.4866033,
107.0424167,294.6999417,95.79616,0.000966766,0.247492188,63.358,5.066506901,
107.0424167,294.6999417,95.803377,0.000638474,0.163449219,41.843,3.346031255,
107.0424167,294.6999417,95.810593,0.000664108,0.170011719,43.523,3.480374694,
107.0424167,294.6999417,95.818712,0.000645584,0.165269531,42.309,3.383295566,
107.0424167,294.6999417,95.823222,0.000573242,0.14675,37.568,3.004175183,
107.0424167,294.6999417,95.832243,0.000533264,0.136515625,34.948,2.794663392,
107.0424167,294.6999417,95.847578,0.000688965,0.176375,45.152,3.61063985,
107.0424167,294.6999417,95.859305,0.00068576,0.175554688,44.942,3.59384692,
107.0424167,294.6999417,95.868326,0.000528778,0.135367188,34.654,2.77115329,
107.0424167,294.6999417,95.881857,0.000556152,0.142375,36.448,2.914612891,
107.0424167,294.6999417,95.908919,0.018388657,4.707496094,181.119,96.36894678,
107.0424167,294.6999417,95.927863,0.000777145,0.198949219,50.931,4.072765286,
107.0424167,294.6999417,96.047839,0.002000183,0.512046875,131.084,10.48230674,
107.0424167,294.6999417,96.182248,0.000953552,0.244109375,62.492,4.997256057,
107.0424167,294.6999417,96.193073,0.000619644,0.158628906,40.609,3.247352801,
107.0424167,294.6999417,96.203898,0.001824524,0.467078125,119.572,9.561734322,
107.0424167,294.6999417,96.344622,0.00058165,0.148902344,38.119,3.048236633,
107.0573333,294.6999333,95.77,0.03764299,9.636605469,162.971,197.2746235,
107.0573333,294.6999333,95.795792,0.000693405,0.177511719,45.443,3.633910053,
107.0573333,294.6999333,95.809133,0.000431793,0.110539063,28.298,2.26288728,
107.0573333,294.6999333,95.817137,0.001369263,0.35053125,89.736,7.175858823,
107.0573333,294.6999333,95.890067,0.000673203,0.172339844,44.119,3.528034628,
107.0573333,294.6999333,95.908744,0.006962769,1.78246875,200.312,36.48959716,
107.0573333,294.6999333,96.047488,0.000475632,0.121761719,31.171,2.492630554,
107.0573333,294.6999333,96.096404,0.000390656,0.100007813,25.602,2.047298047,
107.07225,294.699925,95.77,0.007428162,1.901609375,230.812,38.92857031,
107.07225,294.699925,95.796668,0.000160767,0.04115625,10.536,0.84252528,
107.07225,294.699925,95.804024,0.000113266,0.028996094,7.423,0.593590087,
107.07225,294.699925,95.810461,0.000130005,0.03328125,8.52,0.681313154,
107.07225,294.699925,95.825174,0.000106232,0.027195313,6.962,0.556725608,
107.07225,294.699925,95.847244,0.000159546,0.04084375,10.456,0.836127974,
107.07225,294.699925,95.863796,0.000415909,0.106472656,27.257,2.179642328,
107.07225,294.699925,95.874831,9.85E-05,0.025226563,6.458,0.516422576,
107.07225,294.699925,95.965869,0.000256958,0.06578125,16.84,1.346633041,
107.07225,294.699925,96.000812,0.000311172,0.079660156,20.393,1.630753421,
107.07225,294.699925,96.018284,0.000150375,0.038496094,9.855,0.788068208,
107.07225,294.699925,96.025641,0.000143661,0.036777344,9.415,0.752883021,
107.07225,294.699925,96.052308,0.004546158,1.163816406,41.937,23.82492924,
107.07225,294.699925,96.073458,0.000707443,0.181105469,46.363,3.707479079,
107.07225,294.699925,96.095528,0.000102325,0.026195313,6.706,0.536254226,
107.07225,294.699925,96.106563,0.00010405,0.026636719,6.819,0.545290422,
107.07225,294.699925,96.135989,8.31E-05,0.021265625,5.444,0.435336715,
107.07225,294.699925,96.145185,0.000106018,0.027140625,6.948,0.555606079,
107.07225,294.699925,96.323581,8.20E-05,0.020980469,5.371,0.429499172,
107.07225,294.699925,96.337375,0.00013327,0.034117188,8.734,0.698425949,
107.07225,294.699925,96.350249,8.06E-05,0.020636719,5.283,0.422462135,
107.07225,294.699925,96.360364,9.27E-05,0.023730469,6.075,0.485795471,
107.07225,294.699925,96.371399,9.20E-05,0.023546875,6.028,0.482037053,
107.07225,294.699925,96.525887,8.83E-05,0.022597656,5.785,0.462605234,
107.07225,294.699925,96.545198,7.62E-05,0.019511719,4.995,0.399431831,
107.07225,294.699925,96.764975,7.68E-05,0.019660156,5.033,0.402470552,
107.0871667,294.6999167,95.77,0.012998886,3.327714844,83.895,68.12291892,
107.0871667,294.6999167,95.796098,0.000184402,0.047207031,12.085,0.96639313,
107.0871667,294.6999167,95.803298,0.00020636,0.052828125,13.524,1.081464682,
107.0871667,294.6999167,95.817697,0.000181091,0.046359375,11.868,0.949040435,
107.0871667,294.6999167,95.823996,0.000185532,0.047496094,12.159,0.972310638,
107.0871667,294.6999167,95.966186,0.000800369,0.204894531,52.453,4.194474044,
107.0871667,294.6999167,96.030981,0.001190109,0.304667969,77.995,6.236974112,
107.0871667,294.6999167,96.05258,0.001235184,0.316207031,80.949,6.473194658,
107.1020833,294.6999083,95.77,0.012998886,3.327714844,83.895,68.12291892,
107.1020833,294.6999083,95.796098,0.000184402,0.047207031,12.085,0.96639313,
107.1020833,294.6999083,95.803298,0.00020636,0.052828125,13.524,1.081464682,
107.1020833,294.6999083,95.817697,0.000181091,0.046359375,11.868,0.949040435,
107.1020833,294.6999083,95.823996,0.000185532,0.047496094,12.159,0.972310638,
107.1020833,294.6999083,95.966186,0.000800369,0.204894531,52.453,4.194474044,
107.1020833,294.6999083,96.030981,0.001190109,0.304667969,77.995,6.236974112,
107.1020833,294.6999083,96.05258,0.001235184,0.316207031,80.949,6.473194658,
107.117,294.6999,95.77,0.039838379,10.198625,50.848,208.7799396,
107.117,294.6999,95.796222,0.0006987,0.178867188,45.79,3.66165837,
107.117,294.6999,95.803456,0.000524551,0.134285156,34.377,2.749002616,
107.117,294.6999,95.818828,0.000504028,0.12903125,33.032,2.641447899,
